KO,ENG,JPN
대관령자연휴양림,Daegwallyeong Recreational Forest,大関嶺自然休養林
대관령 하늘목장,Daegwallyeong Sky Farm,大関嶺ハヌル牧場
대성산지구전적비,Daeseongsan Area War Monument,大成山地区戦跡碑
대이동굴,Daeidonggul Cave,大耳洞窟
대진1리해변,Daejin 1-ri Beach,大津1里海岸
대진마을,Daejin Village,大津マウル
대평낚시터,Daepyeong Fishing Area,タイピョン釣り場
덕봉산 해안생태탐방로,Deokbongsan Coastal Eco Trail,徳峰山海岸生態探訪路
덕산항,Deoksan Port,徳山港
덕우리체험마을,Deoguri Experience Village,德雨里体験マウル
덕풍계곡 트레킹,Deokpung Valley Trekking,徳豊渓谷トレッキング
도계역급수탑,Water Tower at Dogye Station,トギェ駅給水塔
도계유리마을,Dogye Glass Village,道渓ユリマウル
도사곡휴양림,Dosagok Recreational Forest,道士谷休養林
도솔산 해병대전투전적지,Dosolsan Marine Corps Battlefield,兜率山海兵隊戦闘戦跡地
도직해변,Dojik Beach,道直海辺
도피안사,Dopiansa Temple,到彼岸寺
동명 방파제,Dongmyeong Seawall,東明防波堤
둔내자연휴양림,Dunnae Recreational Forest,屯内自然休養林
뒷뜨루,Dwittteuru Tourist Farm,トゥィットゥル
등광사,Deunggwangsa Temple,登光寺
등명낙가사등명사지오층석탑,Five-story Stone Pagoda at Deungmyeongsa Temple Site,灯明洛迦寺灯明寺址五層石塔
등명해변,Deungmyeong Beach,灯明海辺
레고랜드 코리아 리조트,Legoland Korea Resort,レゴランドコリアリゾート
로미지안가든,Romyzian Garden,ロミジアンガーデン
르꼬따쥬,Le Cottage Tourist Farm,ルコタジュ
리빙스턴교,Livingston Bridge,リビンストン橋
마곡유원지,Magok Amusement Park,馬谷遊園地
마차리폐광촌,Macha-ri Abandoned Mine Village,磨磋里廃鉱村
마차진해수욕장,Machajin Beach,麻次律海水浴場
만경대,Mangyeongdae Overlook,万景台
만산동계곡,Mangsan-dong Valley,万山洞渓谷
망경대산자연휴양림,Manggyeongdaesan Natural Recreation Forest,望京台山自然休養林
망경산사,Manggyeongsansa Temple,望京山寺
망향의동산,National Mang-Hyang Cemetery,望郷の丘
매운탕골,Maeuntanggol Valley,メウンタンゴル
맹방해수욕장,Maengbang Beach,孟芳海水浴場
멍에전망대,Meonge Observatory,モンエ展望台
멍우리 협곡 (한탄강 국가지질공원),Meongurihyeopgok Gorge (Hantangang River National Geopark),モンウリ峡谷(漢灘江国家地質公園)
명월마을,Myeongwol Village,明月マウル
명주사,Myeongjusa Temple,明珠寺
명주사동종,Bronze Bell of Myeongjusa Temple,明珠寺銅鐘
모나파크 용평리조트 마운틴코스터,Mona Park Yongpyeong Resort Mountain Coaster,モナコパーク龍坪リゾートマウンテンコースター
목조문수동자좌상 복장유물,Wooden Seated Child Manjusri and Excavated Relics,木造文殊童子坐像腹蔵遺物
무궁화수목원,Mugunghwa Arboretum,無窮花樹木園
무릉 달빛 호암소,Mureung Dalbit Hoamso Trail,武陵タルビッ虎巖沼
무릉별유천지,Mureung Byeoryucheonji,武陵ピョル遊園地
미시령옛길,Old Misiryeong Trail,弥矢嶺イェッギル
미천골자연휴양림,Micheongol Natural Recreation Forest,米川谷自然休養林
복주산자연휴양림,Bokjusan Natural Recreation Forest,伏主山自然休養林
선자령,Seonjaryeong Pass,仙子嶺
설악산 만경대,Seoraksan Mangyeongdae Overlook,雪岳山万景台
소금강,Sogeumgang River,小金剛
알프스벨리 사계절썰매장,Alps Valley Four-season Sledding Slope,アルプスベリー四季そり場
연어 자전거길,Yeoneo Bike Path,ヨンオの自転車道
연화산둘레길,Yeonhwasan Trail,蓮花山トゥルレ道
오대산국립공원,Odaesan National Park,五台山国立公園
오대산 명상의 숲길,Odaesan Meditation Forest Trail,五台山瞑想の林道
왕곡마을,Wanggok Village,旺谷マウル
용대자연휴양림,Yongdae Recreational Forest,龍垈自然休養林
용화산자연휴양림,Yonghwasan Recreational Forest,龍華山自然休養林
정동심곡바다부채길,Jeongdongsimgok Badabuchae Trail,正東深谷パダブチェ道
정선개미들마을,Jeongseon Gaemideul Village,旌善ケミトゥルマウル
주문진 방파제,Jumunjin Seawall,注文津防波堤
태백산국립공원망경사,Taebaeksan National Park Manggyeongsa Temple,太白山国立公園望鏡寺
평창계촌마을,Pyeongchang Gyechon Village,平昌桂村マウル
한울타리마을,Hanultari Village,ハヌルタリ村
화천군꺼먹다리,Hwacheon Kkeomeok Bridge,華川郡コモク橋
불당동유적공원,Buldang-dong Historic Park,仏堂洞遺跡公園
현충사,Hyeonchungsa Shrine,顕忠祠
대전광역시 테미오래,Temiorae of Daejeon Metropolitan City,大田広域市テミオレ
대흥공원,Daeheung Park,大興公園
목척교,Mokcheokgyo,木尺橋
선화공원,Seonhwa Park,宣化公園
용암제25,Yonggamje25,龍岩第25公園
용정산림공원,Yongjeong Salim Park,龍亭山林公園
우리들공원,Woorideul Park,ウリドゥル公園
원마루공원,One Maru Park,ウォンマル公園
중앙쇼핑타워,Jungang Shopping Tower,中央ショッピングタワー
커플브리지,Couple bridge,カップルブリッジ
석촌호수팔각정,Seokchon Lake Octagonal Pavilion,石村湖八角亭
오창호수공원,Ochang Lake Park,梧倉湖公園
율량제3호,Yulryang Je 3ho,栗陽第3号
이안스퀘어,Ian Square,イアンスクエア
신평양조장,New Pyeongyang Brewery,新平醸造所
광대도,Gwangdae-do,クァンデ島
간월산,Ganwol Mountain,肝月山
간월자연휴양림,Ganwol Natural Recreation Forest,肝月自然休養林
간절곶 등대,Ganjeolgot Lighthouse,艮絶岬灯台
강동몽돌해변,Gangdong Mongdol Beach,江東モンドル海辺
강동 해수온천,Gangdong Seawater Hot Spring,江東海水温泉
강동 화암 주상절리,Gangdong Hwaam Jusangjeolli Cliff,江東花岩柱状節理
강양항,Gangyang-hang,江陽港
고복수음악관,Goboksu Music Hall,コ・ボクス音楽館
국립대운산치유의숲,National Unsan Healing Forest,国立 大雲山治癒の森
나사해수욕장,Nasa Beach,ナサ海水浴場
내원암 계곡,Naewonam Valley,内院庵渓谷
대왕암공원출렁다리,Daewangam Park Suspension Bridge,大王岩公園吊り橋
대운산,Dae-un Mountain,大雲山
도솔암,Dosolam,兜率岩
동천 야외물놀이장,Dongcheon Outdoor Water Playground,トンチォン野外水遊び場
동축사,Dongchooksa Temple,東竺寺
들살이오토캠핑장,Deul-salee(wild life) Auto Camping Site,トゥルサリオートキャンプ場
등억온천단지,Deungeok Hot Spring Complex,トゥンオク温泉団地
맨발의청춘길,Path of youth on barefoot,メンバルチョンチュンギル
목도,Mokdo,モクド
아이엠아이비,I am I be,アイエムアイビー
3·8의거둔지미공원,3·8uigeodunjimi Park,3·8義挙屯地美公園
갈마공원,Galma Park,葛馬公園
샘머리물순환테마공원,Saemmeorimulsunhwan Theme Park,セムモリ水循環テーマ公園
시애틀공원,Seattle Park,シアトル公園
용암제1호,Yongam No. 1,龍岩第1号
팔각정공원,Palgakjeong Park,八角亭公園
청남대문의매표소,Cheongnam Daemun Ticket Office,青南大門のチケット売り場
청주온천,Cheongju Hot Spring,清州温泉
각연사,Gakyeonsa,覚潤寺
갈기산,Galgisan,鞨騏山
강선대,Gangsundae,カンソンデ
괴산개심사,Goesan Gaesimsa,塊山開心寺
개심사 목조여래좌상과 목조관음보살좌상,Gaesimsa Mokjoyeoraejwasanggwa Mkjogwaneumbosaljwasang Statue of the Buddha,開心寺木造如来坐像と木造観音菩薩坐像
고미술거리,Gomisool Street,古美術の街
고산구곡,Gosangugok,高山九曲
고산사 석조관음보살좌상,Gosansa Seokjogwaneumbosaljwasang,高山寺石造観音菩薩坐像
과일나라테마공원,Gwaeelnara Theme Park,フルーツナラテーマ公園
광명선원,Gwangmyeong Sunwon,クァンミョン禅院
광운관광농원,Gwangwoon Tourist Farm,クァンウン観光農園
괴산대학찰옥수수축제,Goesan University Corn Festival,槐山テハクチャルトウモロコシ祝祭
괴산 문당리 서낭단,Goesan Mundangri Seonangdan,槐山文塘里ソナンダン
괴산사담리의망개나무자생지,Goesan Sadamrieu Manggaenamu Jasanggee,槐山沙潭里のヨコグラノキの自生地
괴산 삼방리 마애여래좌상,Goesan Sambangri Maaeyeoraejwasang,槐山三方里磨崖如来坐像
괴산삼방리삼층석탑,Goesansambangri Samcheungseoktop,槐山三方里三層石塔
괴산 송시열 유적,Goesan Songsiyeol Yujeok(Historic Site),槐山宋時烈遺跡
괴산 수월정,Goesan Suwoljeong,槐山水月亭
괴산 외사리 당간지주,Goesan Oesari Dangganjuji,槐山外沙里幢竿支柱
미선나무자생지,Miseonnamu Jasenggee,美扇木の自生地
괴산 이창훈 고가,Goesan Lee Changhoon Goga,槐山李昌勳古家
괴산 장담 충신각,Goesan Jangdam Choongsingak,槐山張潭忠臣閣
괴산 적석리 소나무,Goesan Jeokseokri Pine Tree,槐山積石里の松
칠충사,Chilchungsa,七忠祠
괴산호,Goesan Lake,槐山湖
구녀산,Gunyeosan,九女山
구룡산 장승공원,Guryong Mountain Jangseung Park,九龍山チャンスン公園
구병산,Gubyeongsan,九屏山
구인사,Guinsa,救仁寺
구절사,Goojeolsa,亀截寺
국립제천치유의숲,Gookrip Jecheon Healing Forest,国立堤川治癒の森
군자산,Gunja Mountain,君子山
금수산,Geumsoo Mountain,錦繍山
금월봉,Geumwolbong,錦月峰
김시민장군 충민사,Kim Simin Janggun Chungminsa Temple,金時敏将軍忠愍祠
깊은산속옹달샘,Gippeun Sansok Ongdalsaem,山奥の泉
월악산모노레일,Woraksan Monorail,月岳山モノレール
꽃동네제빵소(꽃구움),Kkotdongne Bakery (Kkot Goooom),コットンネ製パン所(コッグウム)
낙영산,Nakyeong Mountain,落影山
남천계곡,Namcheon Valley,南川渓谷
남한강(목계교권),Namhan River (Mokgye Bridge Area),南漢江(モクキェキョクォン)
노은영당,Noeun Youngdang,老隠影堂
높은벌,Nopeun Beol,ノプンボル
능강계곡,Neunggang Valley,ヌンガン渓谷
단양 금굴 구석기유적지,Dangyang Geumgul Gooseokgi Yoojeokjee,丹陽金窟旧石器遺跡地
단양 적성,Danyang Jeoksung,丹陽赤城
달천,Dalcheon,達川
대청댐전망대,Daecheong Dam Observatory,大清ダム展望台
도담삼봉,Dodam Sambong,島潭三峰
도란원,Doranwon,トランウォン
만동묘정비,Mandong Myojeongbee,万東廟庭碑
만천하스카이워크,Mancheonha Skywalk,マンチョンハスカイウォーク
망골조각공원,Mangol Jogak(Sculpture) Park,マンコル彫刻公園
명암유원지,Myeongam amusement park,明岩遊園地
목계나루터,Mokgye Naruteo,牧渓渡し場
목은영당,Mockeunyeongdang,牧隠
무극전적국민관광지,Mugeukjeonjeok National Tourist Site,無極戦蹟国民観光地
무암사,Muamsa Temple,霧岩寺
백야자연휴양림,Baekya Jayeon Forest Lodge,白也自然休養林
보발재,Bobaljae,宝発峠
사인암,Sainam,舍人岩
옥천금강수변 친수공원,Okcheongeumgang Subyun Chinsu Park,沃川錦江水辺チンス公園
옥천 향수 200리 자전거길,Okcheon Hyangsoo 200ri Bicycle Road,沃川郷愁200里自転車ギル
온달동굴,Ondal Cave,温達洞窟
장연오가리의느티나무,Jangyeonogarieui Zelvoka Tree,長延五佳里のケヤキ
천동동굴,Cheondong Cave,泉洞洞窟
한국철도공사대전차량융합기술단,Korea Railroad Corporation Daejeon Vehicle Convergence Technology Group,韓国鉄道公社大田車両融合技術団
화암사,Hwaamsa Temple,華岩寺
황정산자연휴양림,Hwangjeongsan Natural Recreation Forest,黄庭山自然休養林
솔향공원 스카이바이크,Solhyang Park Sky Bike,ソルヒャン公園　スカイバイク
대전광역시청시민잔디광장,Daejeon City Hall Citizen's Lawn Plaza,大田広域市庁市民芝生広場
덕암망향공원,Deogam Manghyang Park,徳岩望郷公園
봉광사,Bonggwangsa Temple,ポングァン寺
간월호 쉼터공원,Ganwolho Shelter Park,看月湖 シィムト公園
갈두천권역마을,Galducheon Gwonyeok Village,カルドゥチョン圏域村
갈목해변,Galbok Seashore,カルモク海岸
갑사계곡,Gapsa Valley,甲寺渓谷
강경공립상업학교관사,Ganggyeong Public Commerce School Official Residence,江景公立商業学校 官舎
강경 구 연수당 건재 약방,Ganggyeong Gu Yeonsudang Geonjae Yakbang,江景 旧延寿堂乾材薬房
강경미내다리(미내교),Ganggyeong Minnae Bridge,江景ミネダリ(渼奈橋)
강당골,Gandanggol,講堂谷
강댕이 미륵불,Gangdangee Maitreya Buddha,カンデンイ弥勒仏
개덕사,Gaedeoksa Temple,開徳寺
개심사,Gaesimsa Temple,開心寺
개태사,Gaetaesa Temple,開泰寺
계룡산,Gyeryongsan,鶏龍山
계룡산도예촌 계룡토방,Gyeryongsan Pottery Village Gyeryong Tobang,鶏龍山陶芸村 鶏龍トバン
계룡산중악단,Gyeryongsan Joongankdan,鶏龍山中岳壇
계룡세계군문화엑스포,Gyeryong World Army Culture Expo,鶏龍世界軍文化エキスポ
고경명선생비,Go Gyeongmyeong Seonsaeng Monument,高敬命先生碑
고대도,Godaedo,古代島
고란사,Goransa Temple,皐蘭寺
고령박씨종중재실,Goryeong Park's Jongjoongjaesil,高霊朴氏宗中斎室
고목정,Gomokjeong,コモクジョン
고복자연공원,Gobok Nature Park,高福自然公園
고산사,Gosansa Temple,古山寺
고운뜰공원,Gounddeul Park,コウントゥル公園
고운식물원,Goun Botanical Garden,コウン植物園
고파도,Gopado,古波島
곰나루국민관광단지,Gomnaru National Tourist Complex,コムナル国民観光団地
공주 메타세콰이어길,Gongju Metasequoia Tree Road,公州メタセコイア並木道
공주 원골마을,Gongju Wongol Village,公州ウォンゴルマウル
공주 유구색동수국정원 꽃 축제,Gongju Yugu Saekdong Hydrangea Garden Flower Festival,公州維鳩セクドンアジサイ庭園の花祭り
관음사석탑,Stone Pagoda of Gwaneumsa Temple,観音寺石塔
관촉사,Gwanchoksa Temple,潅燭寺
광시한우거리,Gwangsi Korean Beef Street,光時韓牛通り
구드래조각공원,Gudeurae Sculpture Park,クドゥレ彫刻公園
구름포해수욕장,Gureumpo Beach,クルム浦海水浴場
국립 망향의동산,National Mang-Hyang Cemetery,国立望郷の丘
국립생태원,National Institute of Ecology,国立生態園
군지폭포,Gunji Falls,クンジ滝
군헌갯벌체험학습장,Gunheon Mudflat Experience Learning Center,クンホン潮干狩り体験学習場
금강 문화관,Geumgang Cultural Center,錦江文化館
금산 백령성,Geumsan Baengnyeongseong Fortress,錦山栢嶺城
금강생태공원,Geumgang Wetland Ecological Park,錦江エコパーク
금강신관공원,Geumgang Singwan Park,錦江新官公園
금산생태숲,Geumsan Ecological Forest,錦山生態の森
기러기공원,Wild Goose Park,キロギ公園
기지포해수욕장,Gijipo Beach,機池浦海水浴場
꽃지해수욕장,Kkotji Beach,コッチ海水浴場
꽃지해안공원,Kkotji Beach Park,コッチ海岸公園
나래공원,Narae Park,ナレ公園
나태주 골목길,Na Tae-ju Alleyway,ナ・テジュ路地
남당마을,Namdang Village,南唐マウル
남포관아문,Gate of Nampo Government Office,藍浦官衛門
낭산사,Nangsansa Temple,郎山寺
내포보부상촌,Naepo Bobusang Village,内浦褓負商村
내포항,Naepo Port,內浦港
네이처월드,Nature World,ネイチャーワールド
녹도,Nokdo Island,鹿島
다사항,Dasa Port,多沙港
닥실마을,Daksil Village,タクシルマウル
달메뜰근린공원,Dalmetteul Neighborhood Park,タルメトゥル近隣公園
당진면천읍성,Dangjin Myeoncheoneupseong Walled Town,唐津沔川邑城
당진관광정보센터,Dangjin Tourist Information Center,唐津観光情報センター
대야도항,Daeyado Port,大也島航
금산 대원정사,Geumsan Daewonjeongsa Temple,錦山大円精舎
대조사,Daejosa Temple,大鳥寺
대천항,Daecheon Port,大川港
대천항유람선터미널,Daecheon Port Pleasure Boat Terminal,大川港遊覧船ターミナル
도림계곡,Dorim Valley,トリム渓谷
도비도항,Dobido Harbor,トビ島港
도정딸기마을,Dojeong Strawberry Village,道正いちごマウル
동절사,Dongjeolsa Temple,同節祠
뒤웅박고을,Dwiungbak Village,トゥィウンバッゴウル
마검포해수욕장,Mageompo Beach,磨剣浦海水浴場
만대어촌체험마을,Mandae Fishing Village,マンデ漁村体験村
만대항,Mandae Port,マンデ港
만리포전망타워,Mallipo Observatory Tower,万里浦展望タワー
맷돌포선착장,Maetdolpo Quay,メットル浦船着場
머드광장,Mud Square,マッド広場
먼동해수욕장,Meondong Beach,モンドン海水浴場
명대골계곡,Myeongdaegol Valley,ミョンデコル渓谷
명장섬해수욕장,Myeongjangseom Beach,ミョンジャンソム海水浴場
명종대왕태실및비,Placenta Chamber and Monument to King Myeonjong,明宗大王胎室および碑
목애당,Mokaedang Shrine,牧愛堂
몽대포구,Mongdae Port,夢垈浦口
몽산포해수욕장,Mongsanpo Beach,夢山浦海水浴場
무궁화학습원,Mugunghwa Learning Center,無窮花学習園
백석올미마을,Baekseok Olmi Village,白石オルミ村
당진 삽교호,Dangjin Sapgyoho Lake,唐津挿橋湖
삽교호 함상공원,Sapgyoho Marine Park,挿橋湖艦上公園
석장리박물관,Seokjang-ri Museum,石壮里博物館
석조약사여래입상,Stone Standing Bhaisajyaguru Buddha,石造薬師如来立像
성주산 자연휴양림,Seongjusan Recreational Forest,聖住山自然休養林
스플라스 온천 워터파크,Splas Hot Springs Water Park,スプラス温泉ウォーターパーク
당진 안국사지 석탑,Dangjin Anguksa Temple Stone Pagoda,唐津安国寺址石塔
연기 백로 서식지,Yeongi Heron Habitat,燕岐白鷺生息地
연산역 급수탑,Yeonsan Stn. Water Tower,連山駅給水塔
외암민속마을,Oeam Folk Village,外岩民俗村
용현자연휴양림,Yonghyeon Recreational Forest,龍賢自然休養林
우금치전적지,Ugeumchi Battlefield,牛禁峙戦跡地
웅진백제문화역사관,Woongjin Baekje Culture and History Museum,熊津百済文化歴史館
장고항,Janggo Port,長古項
청양목재문화자연사체험관,Cheongyang Wood Culture and Natural History Experience Center,青陽木材文化自然史体験館
칠갑산가파 정보화마을,Chilgapsangapa Information Village,七甲山カパ情報化村
희리산해송자연휴양림,Huirisan Haesong Recreation Forest,ヒリ山海松自然休養林
계족산 황톳길,Gyejoksan Red Clay Trail,鶏足山黄土道
광수사,Gwangsusa Temple,クァンス寺
국립현충원,Daejeon National Cemetery,国立顕忠院
금강로하스 대청공원,Geumgang Lohas Daecheong Park,金剛ロハス大清公園
남간정사,Namganjeongsa Study Hall,南澗精舎
남선공원,Namseon Park,南仙公園
대동벽화마을,Daedong Mural Village,大洞壁画マウル
대전MBC,Daejeon MBC,大田MBC
대전교통문화연수원,Daejeon Ggyotong Munhwa Yeonsuwon,大田交通文化研修院
대전시청광장,Daejeon City Hall Plaza,大田市庁広場
대전월드컵경기장,Daejeon World Cup Stadium,大田ワールドカップ競技場
대청호,Daecheongho Lake,大清湖
엑스포 과학공원,Expo Science Park,エキスポ科学公園
경암근린공원,Gyeongam Neighborhood Park,キョンアム近隣公園
경장각,Gyeongjanggak Pavilion,敬章閣
관덕정의 각궁,Gwandeokjeong Pavilion's Korean Archery,観徳亭の角弓
광주 3.1만세 운동 기념비,Gwangju Monument for March 1st Independence Movement,光州3.1万歳運動記念碑
광주공원,Gwangju Park,光州公園
광주공원 사적비군,Gwangju Park Memorial Stone Site,光州公園史跡碑群
광주 국제 차문화 전시회,Gwangju International Tea Fair,光州国際茶文化展示会
광주 녹색에너지체험관,Gwangju Green Energy Exhibition Hall,光州グリーンエネルギー体験館
광주무역회관,Gwangju Korea International Trade Association Building,光州貿易会館
광주 비엔날레 전시관,Gwangju Biennale Exhibition Hall,光州ビエンナーレ展示館
광주세계김치축제,Gwangju World Kimchi Festival,光州世界キムチ祭り
광주 송정동 떡갈비 골목,Gwangju Songjeong-dong Tteokgalbi Alley,光州松汀洞トッカルビ路地
광주역사민속박물관,Gwangju History & Folk Museum,光州歴史民俗博物館
광주예술의거리,Gwangju Art Street,光州芸術ストリート
광주지산동오층석탑,"Five-story Stone Pagoda at Jisan-dong, Gwangju",光州芝山洞五重石塔
광주패밀리랜드,Gwangju Family Land,光州ファミリーランド
광주호호수생태원,Gwangjuho Lake Eco Park,光州湖 湖水生態園
괴곡동느티나무,Goegok-dong Zelkova Tree,槐谷洞ケヤキ
국립 5.18 민주묘지,May 18th National Cemetery,国立5・18民主墓地
금호타이어 광주공장,Kumho Tire Gwangju Plant,金湖タイヤ光州工場
너릿재공원,Neoritjae Park,ノリッジェ公園
만귀정,Mangwijeong,晩帰亭
무등산국립공원,Mudeungsan National Park,無等山国立公園
지산유원지,Jisan Recreation Area,芝山遊園地
구룡령 옛길,Old Guryongnyeong Trail,九龍嶺 旧道
강천산 군립공원,Gangcheonsan County Park,剛泉山郡立公園
강천산휴양농원,Gangcheonsan Hyuyang Nongwon,剛泉山休養農園
개령암지 마애불상군,Rock-carved Buddhas at Gaeryeongam Hermitage Site,開嶺庵址 磨崖仏像群
개암사,Gaeamsa Temple,開岩寺
순창쉴랜드,Sunchang Shil Land,淳昌スィランド
격포마을,Gyeokpo Village,格浦村
격포항,Gyeokpohang Port,格浦港
격포해수욕장,Gyeokpo Beach,格浦海水浴場
경암동 철길마을,Gyeongam-dong Railroad Village,京岩洞 鉄道村
고군산군도,Gogunsan Islands,古群山群島
고부구읍성,Gobugueupseong Walled Town,古阜区邑城
고사포해수욕장,Gosapo Beach,故沙浦海水浴場
고산자연휴양림,Gosan Recreational Forest,高山自然休養林
고원화목원,Gowon Botanic Garden,高原花木園
고창고인돌유적,Gochang Dolmen Site,高敞支石墓遺跡
고창 무장객사,Gochang Mujang Guesthouse,高敞茂長客舎
고창 분청사기요지,Gochang Buncheong Kiln Site,高敞粉靑砂器窯址
고창읍성,Gochangeupseong Walled Town,高敞邑城
고창 청농원,Gochang Blue Farm,高敞チョン農園
고창 핑크뮬리 축제,Gochang Pink Muhly Festival,高敞ピンクミュリー祭り
곰소염전,Gomso Salt Farm,コムソ塩田
관성묘,Gwanseongmyo Shrine,関聖廟
관응사,Gwaneungsa Temple,観応寺
광한루원,Gwanghalluwon Garden,広寒楼苑
교룡산국민관광지,Gyoryongsan National Tourist Area,蛟竜山国民観光地
구담회관,Gudamhoegwan,クダム会館
구송정 유원지,Gusongjeong Recreation Area,九松亭遊園地
구시포마을,Gusipo Village,九市浦村
구시포항,Gusipohang Port,九時浦港
구시포해수욕장,Gusipo Beach,九市浦海水浴場
구암사,Guamsa Temple,鳩厳寺
구암정,Guamjeong Pavilion,亀岩亭
국립신시도자연휴양림,Shinsido Recreational Forest,国立新侍島自然休養林
국립회문산자연휴양림,Hoemunsan Recreational Forest,国立回文山自然休養林
국사봉전망대,Guksabong Observatory,国師峰 展望台
군산 3.1운동 100주년 기념관,Gunsan March First Movement Centennial Memorial Hall,群山三・一運動100周年記念館
군산항,Gunsan Port,郡山港
군산호수 둘레길,Gunsan Lake Dulle Trail,群山湖トゥルレキル
귀신사,Gwisinsa Temple,帰信寺
금강하구둑 철새도래지,Bird Sanctuary of Geumgang Estuary Embankment,錦江河口 渡り鳥飛来地
금강호 관광지,Geumgangho Tourist Area,錦江湖観光地
