KO,ENG,JPN
솔향기공원,Solhyanggi Park,松の香り公園
솟대공원,Sotdae Park,ソッデ公園
송강공릉천공원,Songgang Gongneungcheon Park,松江孔陵川公園
송곡공원,Songgok Park,松谷公園
송내동 쌈지공원,Ssamji Park in Songnae-dong,松内洞サムジ公園
송담근린공원,Songdam Neighborhood Park,松潭近隣公園
송동공원,Songdong Park,松洞公園
송림공원,Songlim Park,松林公園
송방공원,Songbang Park,松方公園
송북동신흥마을쌈지공원,Sinheung Village Ssamji Park in Songbuk-dong,松北洞新興村サムジ公園
송산3.1기념공원,Songsan 3.1 Memorial Park,松山3.1記念公園
송산사지근린공원,Songsan Temple Site Neighborhood Park,松山寺址近隣公園
송서성당,Songseo Cathedral,松西聖堂
송전레스피아,Transmission Respia,松田レスピア
송정공원,Songjeong Park,松亭公園
송포공원,Songpo Park,松浦公園
송현공원,Songhyeon Park,松峴公園
송화공원,Songhwa Park,松花公園
수내공원,Sunae Park,水内公園
수노을중앙공원,Sunoeul Central Park,スノウル中央公園
수락리버시티공원,Surak River City Park,水落リバーシティ公園
수리산성지성당,Surisan Sanctuary Cathedral,スリ山聖地聖堂
수원시청소년문화공원,Suwon Youth Culture Park,水原市青少年文化公園
수원월드컵경기장조각공원,Suwon World Cup Stadium Sculpture Park,水原ワールドカップ競技場彫刻公園
수지근린공원,Suji Neighborhood Park,水枝近隣公園
수청공원,Sucheong Park,水清公園
수촌공원,Suchon Park,水村公園
수촌근린공원,Suchon Neighborhood Park,水村近隣公園
수촌소공원,Suchon Small Park,水村小公園
숲속공원,a forest park,森の公園
숲속향기공원,Forest Fragrance Park,森の香り公園
스크랜톤채플,Scranton Channel Plus,スクラントンチャペル
승지문화공원,Seungji Culture Park,スンジ文化公園
시계탑공원,Clock Tower Park,時計台公園
시화나래조력공원,Sihwa Narae Jorye Park,始華ナレ潮力公園
식골공원,Sikgol Park,食骨公園
식사중앙공원,Siksa Central Park,食事中央公園
신곡공원,Singok Park,新谷公園
신나는어린이공원,an exciting children's park,楽しい子供公園
신남근린공원,Shinnam Neighborhood Park,シンナム近隣公園
신남성당,Shinnam Cathedral,新南聖堂
신능공원,Sinnung Park,新陵公園
신당근린공원,Sindang Neighborhood Park,新堂近隣公園
신대쌈지공원,Shindae Ssamji Park,シンデサムジ公園
신작공원,a new park,シンジャク公園
신정공원,Sinjeong Park,新亭公園
신촌마을해솔공원,Sinchon Village Haesol Park,新村村ヘソル公園
신현솔숲공원,Shin Hyun-sol Forest Park,シンヒョンソル森公園
신호등어린이공원,Traffic light children's park,信号機子供公園
신화공원,Shinhwa Park,神話公園
신흥근린공원,Shinheung Neighborhood Park,新興近隣公園
실개울공원,Silgaeul Park,シルゲウル公園
심곡본동성당,Simgokbon-dong Cathedral,深谷本洞聖堂
심곡성당,Simgok Cathedral,深谷聖堂
쌍봉산근린공원,Ssangbong Mountain Neighborhood Park,双峰山近隣公園
아름공원,Arum Park,アルム公園
아름마을공원,Arum Village Park,アルムマウル公園
아천빗물펌프장생태습지,Acheon Rain Pumping Station Ecological Wetland,峨川雨水ポンプ場生態湿地
아쿠아키즈파크,Aqua Kids Park,アクアキッズパーク
안골소공원,Angolso Park,アンゴルソ公園
안산부곡공원,Ansan Bugok Park,安山釜谷公園
안삼미공원,Ansammi Park,安三美公園
안성문화재공원,Anseong Cultural Heritage Park,安城文化財公園
안송근린공원,Ansong Neighborhood Park,安松近隣公園
안양예술공원,Anyang Art Park,安養芸術公園
안중성당,Anjung Cathedral,眼中聖堂
안흥동공설묘지공원,Anheung-dong Public Cemetery Park,安興洞公設墓地公園
알곡성전,the Battle of Algol,アルゴク聖戦
알미공원,Almi Park,アルミ公園
알미산공원,Almisan Park,アルミ山公園
암새달공원,Amsae Moon Park,雌鳥達公園
야탑공원,Yatap Park,野塔公園
약대공원,Yakdae Park,若大公園
양영공원,Yangyeong Park,楊栄公園
양주백석성당,Yangju Baekseok Cathedral,楊州白石聖堂
양지공원,Yangji Park,ヤンジ公園
양지말공원,Yangjimal Park,陽地マル公園
어등산레포츠공원,Eodeungsan Leports Park,魚登山レジャースポーツ公園
어린이교통교육장,Children's Transportation Training Center,子供交通教育場
어인남공원,Eoinnam Park,オインナム公園
언남공원,Unnam Park,彦南公園
언덕공원,a hill park,丘公園
에버그린파크,Evergreen Park,エバーグリーンパーク
엘지공원,LG Park,エルジー公園
여계근린공원,Yeogye Neighborhood Park,ヨゲ近隣公園
여수근린공원,Yeosu Neighborhood Park,麗水近隣公園
여수울공원,Yeosu Seoul Park,ヨスウル公園
여울목공원,Yeoulmok Park,ヨウルモク公園
여주성당,the main cathedral of Korea,驪州聖堂
여주저류지,a reservoir of Korea,驪州貯留地
여치공원,Yeotchi Park,ヨチ公園
역말소공원,Station Malso Park,駅末小公園
역북문화공원,Yeokbuk Cultural Park,駅北文化公園
역북소공원,Yeokbuk Small Park,駅北小公園
연암공원,Yeonam Park,燕岩公園
연양동공원,Yeonyang-dong Park,延陽洞公園
연천 고랑포구 역사공원,Yeoncheon Gorangpo-gu Historic Park,漣川古浪浦区歴史公園
열린맘공원,Open Mom Park,開かれたママ公園
열린문화공원,Open Culture Park,開かれた文化公園
열림공원,Open Park,開園公園
열쇠성당,Key Cathedral,鍵聖堂
영국군설마리전투추모공원,Battle Memorial Park for the British Army,イギリス軍まさか里戦闘追悼公園
영덕공원,Yeongdeok Park,盈徳公園
영덕레스피아,Yeongdeok Respia,盈徳レスピア
영복공원,Yeongbok Park,永福公園
영월근린공원,Yeongwol Neighborhood Park,寧越近隣公園
영장공원,Warden Park,霊場公園
영통사공원,Yeongtongsa Park,霊通寺公園
예슬공원,Yeseul Park,イェスル公園
오리공원,Duck Park,梧里公園
오리역사공원,Ori History Park,オリ歴史公園
오목문화공원,Omok Cultural Park,梧木文化公園
오목천공원,Omokcheon Park,梧木川公園
오비즈공원,Obiz Park,オービーズ公園
오산근린공원,Osan Neighborhood Park,烏山近隣公園
오야소공원,Oyaso Park,大八十公園
오음공원,Five-eum,梧蔭公園
오전로가족공원,A.M.R. Family Park,午前路家族公園
오전초교앞공원,Morning elementary school park,午前小学校前公園
옥빛공원,Okbit Park,オクビッ公園
옥정중앙공원,Okjeong Central Park,玉井中央公園
옥천레포츠공원,Okcheon Leports Park,玉川レポーツ公園
옥천문화공원,Okcheon Cultural Park,沃川文化公園
옹기동산,Onggi Garden,甕の園
옹달샘공원,Ongdalsam Park,オンダルセム公園
옹달샘인공습지,Ongdalsam Artificial Wetland,オンダル泉人工湿地
와개공원,Wagae Park,臥蓋公園
와동묘지공원,Wadong Cemetery Park,臥洞墓地公園
와우남촌공원,Wow Namchon Park,ワウナムチョン公園
와우코리요공원,Wow Coryo Park,ワウコリヨ公園
완두콩소공원,Pea Small Park,エンドウ豆小公園
왕숙천 시민공원,Wangsukcheon Civic Park,王淑川市民公園
외삼미근린공원,Oesammi Neighborhood Park,外三味近隣公園
외삼미소공원,Oesamiso Park,ウェサムミソ公園
용뫼공원,Yongmoe Park,ヨンメ公園
용성공원,Yongseong Park,龍城公園
용인중앙공원,Yongin Central Park,龍仁中央公園
용천공원,Yongcheon Park,龍川公園
용하공원,Yongha Park,ヨンハ公園
운경공원묘원,Ungyeong Park Cemetery,雲鏡公園墓園
운유공원,a transportation center,雲遊公園
운정건강공원,Unjeong Health Park,雲井健康公園
운중공원,a cloud park,雲中公園
운천성당,Uncheon Cathedral,雲泉聖堂
웃고얀근린공원,Laughing Neighborhood Park,ウッコヤン近隣公園
웃터골공원,Uttergol Park,ウットコル公園
원일공원,Wonil Park,遠日公園
원장당공원,Wonjangdang Park,園長堂公園
원정리소공원,Wonjeong Riso Park,院井里小公園
원정지구소공원,Wonjeong District Small Park,遠征地区小公園
원천동성당,Woncheon-dong Cathedral,遠川洞聖堂
원포공원,Wonpo Park,遠浦公園
원흥동 성 바오로6세 성당,St. Paul VI's Cathedral in Wonheung-dong,元興洞聖パウロ6世聖堂
월곶조각공원,Wolgot Sculpture Park,月串彫刻公園
월피공원,Wolphy Park,ウォルピ公園
위례성데레사성당,The Cathedral of Wirye Castle de Resa,慰礼聖デレッサ聖堂
윗말공원,Witmal Park,ウィッマル公園
유니온파크,Union Park,ユニオンパーク
유통단지공원,Distribution Complex Park,流通団地公園
육탄10용사기념공원,Yuktan Ten Martyrs Memorial Park,六炭十勇士記念公園
율곡습지공원,Yulgok Wetland Park,栗谷湿地公園
율동공원,Yuldong Park,栗洞公園
율리공원,Yuli Park,栗里公園
으뜸체육공원,the best sports park,トップ体育公園
은계중앙공원,Eungye Central Park,ウンゲ中央公園
은대공원,Eundae Park,ウンデ公園
은데미근린공원,Eundemi Neighborhood Park,ウンデミ近隣公園
은빛개울공원,Silver River Park,銀色の小川公園
은빛공원,Silver Park,銀色の公園
은샘공원,Eunsaem Park,ウンセム公園
은실근린공원,Eunsil Neighborhood Park,ウンシル近隣公園
은여울공원,Eunyeoul Park,ウンヨウル公園
은행근린공원,Eunhaeng Neighborhood Park,銀杏近隣公園
은행마을공원,Eunhaeng Village Park,銀杏村公園
이곡공원,Igok Park,二谷公園
이문안호수공원,Lee Munan Lake Park,イムンアン湖公園
이물재공원,Lee Sangjae Park,異物材公園
이삭길공원,Isaac Street Park,イサクギル公園
이수흥공원,Isuheung Park,イスフン公園
이천 온천공원,Icheon Hot Spring Park,利川温泉公園
이천갈산현진에버빌아파트공원,Icheon Galsan Hyunjin Everville Apartment Park,利川葛山ヒョンジンエバービルアパート公園
이천성당,Icheon Cathedral,利川聖堂
이천휴게소(하남방향)공원,Icheon Service Area (Hanam-dong) Park,利川サービスエリア(河南方向)公園
이팝나무공원,Yipopnamu Park,ヒトツバタゴ公園
인덕원공원,Indeokwon Park,仁徳院公園
인창중앙공원,Inchang Central Park,仁昌中央公園
일동공원,Ildong Park,一同公園
일번가공원,First Street Park,一番街公園
일산3도시개발구역 소공원,Ilsan 3 Urban Development Zone Small Park,一山3都市開発区域小公園
일산성당,Ilsan Cathedral,一山聖堂
일패근린공원,Ilpae Neighborhood Park,一敗近隣公園
임곡공원,Imgok Park,林谷公園
자연애공원,a nature park,自然愛公園
자은근린공원,Jaeun Neighborhood Park,慈恩近隣公園
자작나무공원,birch park,シラカバ公園
자전거공원,a bicycle park,自転車公園
자전거생태공원,Bicycle Ecological Park,自転車生態公園
자전거안전교육장,Bicycle Safety Training Center,自転車安全教育場
자혜물놀이터,Jahye Water Playground,慈恵水遊び場
작은막공원,Small Mak Park,小さな幕公園
작은새공원,Little Bird Park,小鳥公園
잔다리근린공원,Jandari Neighborhood Park,ジャンダリ近隣公園
장고개공원,Janggogae Park,チャンゴゲ公園
장당공원,Jangdang Park,チャンダン公園
장승백이공원,Jangseungbaeki Park,チャンスンベギ公園
장지동성당,Jangjidong Cathedral,長旨洞聖堂
장지이웃공원,Jangji Neighborhood Park,チャンジ隣人公園
장짐공원,Jangjim Park,チャンジム公園
장촌공원,Jangchon Park,チャンチョン公園
장터골공원,Jangteogol Park,チャントコル公園
장항공원,Janghang Park,長項公園
장항습지,Janghang Wetland,長項湿地
장호원공원,Janghowon Park,長湖院公園
장흥조각공원,Jangheung Sculpture Park,長興彫刻公園
재궁공원,Jaegung Park,斎宮公園
전곡근린공원,Jeongok Neighborhood Park,全谷近隣公園
전동약수터,an electric mineral spring,電動薬水場
전망대공원,Observatory Grand Park,展望台公園
절골말근린공원,Jeolgolmal Neighborhood Park,チョルゴルマル近隣公園
점성공원,a astrological park,占星公園
정발산공원,Jeongbalsan Park,正発山公園
정암수목공원,Jeongam Tree Park,静岩樹木公園
정평공원,Jeongpyeong Park,静平公園
조각공원,Sculpture Park,彫刻公園
조개비쉼터,Shelby Shelter,貝殻シェルター
조원동주교좌성당,Cho Won-dong Cathedral,棗園洞主教座聖堂
좌울공원,Chowool Park,左ウル公園
주곡문화공원,Jugok Culture Park,酒谷文化公園
주산도공원,Jusando Park,主山島公園
죽미공원,Jukmi Park,竹尾公園
죽산연못공원,Juksan Pond Park,竹山池公園
죽전70호근린공원(2023년6월예정),Jukjeon No. 70 Neighborhood Park (scheduled for June 2023),竹田70号近隣公園(2023年6月予定)
죽전새터공원,Jukjeon Saeteo Park,竹田セト公園
죽현마을중앙공원,Jukhyeon Village Central Park,竹峴村中央公園
중동사거리쉼터공원,Jungdong Intersection Rest Area Park,中洞交差点憩いの場公園
중보들공원,Jungbodeul Park,中ボドゥル公園
중봉근린공원,Jungbong Neighborhood Park,中峰近隣公園
중산더부골공원,Jungsan Deobugol Park,中山ダブゴル公園
중산마루공원,Jungsan Maru Park,中山丸公園
중산안골공원,Jungsan Angol Park,中山アンゴル公園
중산안학공원,Zhongshan Anhak Park,中山安鶴公園
중산태미공원,Zhongshan Taemi Park,中山泰美公園
중앙광장,the central square,中央広場
중앙근린공원,Central Neighborhood Park,中央近隣公園
중앙문화공원,Central Cultural Park,中央文化公園
지도공원,Map Park,地図公園
지산이주단지공원,Jisan Jujube Complex Park,ジサン移住団地公園
지성공원,Jisung Park,至誠公園
직동근린공원,Jikdong Neighborhood Park,直東近隣公園
진고개공원,Jingogae Park,ジンゴゲ公園
진사근린공원,Jinsa Neighborhood Park,チンサ近隣公園
진사생태공원,Jinsa Ecological Park,ジンサ生態公園
짚풀공원,a straw pool park,わら公園
참나무공원,Oak Tree Park,クヌギ公園
참회와 속죄의 성당,a church of penance and atonement,懺悔と贖罪の聖堂
창말소공원,Changmalso Park,チャンマルソ公園
창우근린공원,Changwoo Neighborhood Park,長友近隣公園
창훈공원,Changhun Park,昌勲公園
천도교화악산수도원,Cheondogyo-Hwasan Monastery,天道教化岳山修道院
천리레스피아,a thousand lirespia,千里レスピア
천문공원,Astronomical park,天文公園
천보공원,Cheonbo Park,天保公園
천주교 관악성당,a Catholic church,カトリック冠岳聖堂
천주교 교하성당,a Catholic church,カトリック教下聖堂
천주교 상록수성당,an evergreen Catholic church,カトリック常緑樹聖堂
천주교 진접성당,a Catholic church,カトリック真接聖堂
천주교세마성당,Catholic Sema Cathedral,カトリック洗馬聖堂
천주교쌘뽈수도원유지재단,Catholic Sampol Monastery Maintenance Foundation,カトリックセンポル修道院維持財団
천주교안흥성당,Catholic Anheung Cathedral,天主教・安興カトリック教会
천주교의정부교구운정성당,"Unjeong Cathedral, a Catholic parish",カトリックの政府教区雲井聖堂
천하늘공원,Cheonneul Park,天下ヌル公園
청계산맑은숲공원,Cheonggyesan Clear Forest Park,清渓山きれいな森公園
청덕성모승천성당,Cheongdeok St. Mary's Ascension Cathedral,清徳聖母昇天聖堂
청록공원,Turquoise Park,青鹿公園
청미공원,Cheongmi Park,チョンミ公園
청사앞소공원,Small Park in front of the building,庁舎前小公園
청산공원,Cheongsan Park,青山公園
청석공원,Cheongseok Park,青石公園
청솔공원,Cheongsol Park,チョンソル公園
청송근린공원,Cheongsong Neighborhood Park,青松近隣公園
청실공원 부천 중동,Cheongsil Park Bucheon Middle East,チョンシル公園富川中洞
청천공원,Cheongcheon Park,清川公園
청평성당,Cheongpyeong Cathedral,清平聖堂
첼로공원,Cello Park,チェロ公園
초록누리근린공원,Green Nuri Neighborhood Park,緑ヌリ近隣公園
초림공원,Chorim Park,草林公園
초부리생태습지,Choburi Ecological Wetland,チョブリ生態湿地
초원공원,a meadow park,チョウォン公園
추계레스피아,Autumn Respia,秋季レスピア
추팔근린공원,Chupal Neighborhood Park,チュパル近隣公園
충혼공원,Chunghon Park,忠魂公園
칠괴공원,Chilgoe Park,七塊公園
칠원소공원,Chilwonso Park,七元小公園
캠프하우즈문화공원,Camp Haus Cultural Park,キャンプ·ハウズ文化公園
코아루아파트공원,Koaru Apartment Park,コアルアパート公園
킨텍스중앙공원,KINTEX Central Park,キンテックス中央公園
탄요유적공원,Tanyo Historic Park,炭陽遺跡公園
탄천민물고기습지생태원,Tancheon Folk Fish Wetland Ecological Center,炭川淡水湿地生態園
탄현공원,Tanhyeon Park,炭峴公園
탑동공원,Tapdong Park,塔洞公園
탑현공원,Taphyeon Park,塔峴公園
태극공원,Taegeuk Park,太極公園
텃밭공원,a garden park,菜園公園
토리공원,Tori Park,鳥公園
토월공원,Towol Park,吐月公園
토평공원,Topyeong Park,土坪公園
대유평공원,Daeyupyeong Park,大遊平公園
통일공원,Unification Park,統一公園
통일동산갈대광장공원,Reunification Garden Galdae Square Park,統一東山葦広場公園
통일동산노을동산공원,Unification Garden Noeul Garden Park,統一東山ノウル東山公園
통일동산락가든공원,Unification Garden Park,統一トンサンラクガーデン公園
통진레코파크,Tongjin Reco Park,トンジンレコパーク
퇴계원공원,Toegyewon Park,退渓園公園
퇴계원물놀이장공원,Toegyewon Water Playground Park,退渓園水遊び場公園
판교성김대건안드레아성당,Kim Dae-geon Andrea Cathedral in Pangyo,板橋聖キム·デゴンアンドレア聖堂
팔당물안개공원,Paldang Water Fog Park,八堂水霧公園
패키지공원,Package Park,パッケージ公園
평원공원,a plain park,平原公園
평화의쉼터,a resting place for peace,平和の憩いの場
포곡공원,Pogok Park,浦谷公園
푸르내공원,Purnae Park,プルネ公園
푸르지오아파트공원,Prugio Apartment Park,プルジオアパート公園
푸른내공원,Blue Inner Park,プルンネ公園
푸른물빛근린공원,Blue Water Neighborhood Park,青い水色近隣公園
푸른숲공원,Green Forest Park,青い森公園
푸른쉼터,a green shelter,緑の憩いの場
풀무골공원,Pulmugol Park,プルムゴル公園
풀벌레공원,a grasshopper park,草虫公園
풀잎공원,Grassland Park,草の葉公園
풍경공원,a scenic park,風景公園
풍년공원,a good harvest park,豊年公園
풍덕공원,Pungdeok Park,豊徳公園
풍덕천소공원,Pungdeokcheon Small Park,豊徳川小公園
풍뎅이공원,a beetle park,コガネムシ公園
피아노공원,Piano Park,ピアノ公園
피아노숲공원,Piano Forest Park,ピアノの森公園
필봉공원,Pilbong Park,筆峰公園
하나공원,Hana Park,ハナ公園
하남시청근린공원,Hanam City Hall Neighborhood Park,河南市役所近隣公園
하늘물공원,Sky Water Park,ハヌルムル公園
하늘별무리공원,Haneul Byeolmuri Park,ハヌルビョルムリ公園
하늘빛공원,Sky Light Park,ハヌルビッ公園
하늘소공원,Haneulso Park,ハヌルソ公園
하늘아리공원,Haneulari Park,ハヌルアリ公園
하늘자전거공원,Sky Bicycle Park,ハヌル自転車公園
하늘장미공원,Sky Rose Park,ハヌルバラ公園
하늬울공원,Hanniul Park,ハニウル公園
하리공원,Hari Park,下里公園
하상공원,Riverbed Park,河床公園
하얀마음공원,White Heart Park,白い心公園
하평공원,Hapyeong Park,河平公園
학곡리돌마들공원,Hakgok-ri Dolmadul Park,鶴谷里ドルマドゥル公園
학령산산림공원,Haknyeongsan Forest Park,鶴嶺山山林公園
학현근린공원,Hakhyeon Neighborhood Park,鶴峴近隣公園
한가람공원,Hangaram Park,ハンガラム公園
한강신도시 호수공원,Han River New Town Lake Park,漢江新都市湖公園
한들공원,Handeul Park,ハンドゥル公園
한뫼공원,Hanmoe Park,ハンメ公園
한빛공원,Hanbit Park,ハンビッ公園
한얼공원,Hanul Park,ハンオル公園
한우리공원,Hanuri Park,ハンウリ公園
한우물숲길공원,Han Well Forest Road Park,ハンウムル森ギル公園
해동공원,Haedong Park,海東公園
해미공원,Haemi Park,海美公園
해밀공원,Hamill Park,ハミル公園
해송공원,Haesong Park,海松公園
해오라기공원,Haeragi Park,サギ公園
해찬공원,Haechan Park,ヘチャン公園
해참공원,Haecham Park,海参公園
햇빛공원,Sunlight Park,日光公園
행복공원,Happiness Park,幸福公園
행신공원,Haengshin Park,幸信公園
향나무공원,juniper park,イブキ公園
향소리비솔마을장수공원,Hyangso-ri Bisol Village Jangsu Park,香蘇里ビソル村長寿公園
헤이리 예술마을통일동산달맞이동산공원,Heyri Art Village Unification Garden Dalmaji Garden Park,ヘイリ芸術村統一東山タルマジ東山公園
현곡근린공원,Hyeongok Neighborhood Park,玄谷近隣公園
현곡공원,Hyeongok Park,弦谷公園
현리성당,Hyeonri Cathedral,ヒョンリ聖堂
현진공원,Hyunjin Park,ヒョンジン公園
혜령공원,Hyeryeong Park,ヘリョン公園
호계근린공원,Hogye Neighborhood Park,虎渓近隣公園
장자호수공원,Jangja Lake Park,チャンジャ湖公園
호암근린공원,Hoam Neighborhood Park,湖岩近隣公園
호평동근린공원,Pyeongho-dong Neighborhood Park,好評洞近隣公園
홍익문화공원,Hongik Cultural Park,弘益文化公園
화랑놀이터공원,Hwarang Playground Park,花郎遊び場公園
화서공원,Hwaseo Park,華西公園
화서오거리공원,Hwaseo Five-way Intersection Park,華西五叉路公園
화성휴게소(목포방향)쉼터,Hwaseong Rest Area (Mokpo direction) Rest Area,華城サービスエリア(木浦方向)休憩所
화수공원,Hwasu Park,花水公園
화신공원,Hwasin Park,化身公園
황골공원,Hwanggol Park,ファンゴル公園
황금공원,Golden Park,黄金公園
황송근린공원,Hwangsong Neighborhood Park,黄松近隣公園
황포소공원,Hwangpo Small Park,黄浦小公園
회룡문화공원,Hoeryong Cultural Park,回龍文化公園
효성아파트공원,Hyosung Apartment Park,暁星アパート公園
효양공원,Hyoyang Park,孝陽公園
효자동쌈지공원,Hyoja-dong Ssamji Park,孝子洞サムジ公園
후곡공원,Hugok Park,後谷公園
후동공원,Fu Dong Park,不動公園
휴게공원,Resting park,休憩公園
흥덕중앙공원,Heungdeok Central Park,興徳中央公園
희망대공원,Hope Grand Park,希望台公園
희망인공습지,Hope Artificial Wetland,希望人工湿地
희망찬공원,a hopeful park,希望に満ちた公園
희성공원,Heesung Park,ヒソン公園
APEC나루공원,APEC Naru Park,APECナル公園
BMC와치공원,BMC Watch Park,BMC和知公園
UN조각공원,United Nations Sculpture Park,UN彫刻公園
가마실공원,Gamasil Park,ガマシル公園
가야성당,Gaya Cathedral,伽倻聖堂
강변둥지공원,Gangbyeon Nest Park,川辺東池公園
강변환경공원,Riverside Environmental Park,川辺環境公園
강송정공원,Gangsongjeong Park,江松亭公園
거미줄공원,spider web park,くもの巣公園
견우공원,Gyeonwoo Park,牽牛公園
곡상골공원,Goksanggol Park,谷上谷公園
과정공원,Course Park,課程公園
구기공원,a ball park,球技公園
구덕공원,Gudeok Park,九徳公園
구덕문화공원,Gudeok Cultural Park,九徳文化公園
구학공원,Guhak Park,九鶴公園
굿거리언덕공원,Gutgeori Hill Park,グッコリ丘公園
그린달님공원,Green Moon Nim Park,グリーンお月様公園
천주교금곡성당,Catholic Golden Valley Cathedral,カトリック金谷聖堂
금정공원,Geumjeong Park,金井公園
금정평안교,Geumjeong Pyeongan Bridge,金井平安橋
기비골공원,Gibigol Park,吉備谷公園
기쁜소식,good news,うれしい知らせ
꽃게공원,Blue Crab Park,ワタリガニ公園
꿈나래공원,Dream Narae Park,クムナレ公園
꿈마루공원,Dream Maru Park,クムマル公園
꿈에공원,Dream Park,夢に公園
나라공원,Nara Park,奈良公園
남산성당,Namsan Cathedral,南山聖堂
남산정공원,Namsanjeong Park,南山亭公園
널구지공원,Neolguji Park,板臼公園
노을정휴게소,Noeuljeong Rest Area,ノウルジョンサービスエリア
노적봉공원,Nojeokbong Park,露積峰公園
녹산고향동산,Noksan Hometown Garden,緑山ふるさとの園
