KO,ENG,JPN
과천시립문원도서관,Gwacheon Municipal Munwon Library,果川市立文原図書館
광교홍재도서관,Gwanggyo Hongjae Library,光教弘斎図書館
광명시중앙도서관 푸름이도서관,Gwangmyeong City Central Library Pureumi Library,光明市中央図書館プルミ図書館
광명시립철산도서관,Gwangmyeong  Municipal Cheolsan Library,光明市鉄山図書館
광명시립하안도서관,Gwangmyeong Municipal Haan Library,光明市立下安図書館
광주광역시립사직도서관,Gwangju Metropolitan City Municipal Sajik Library,光州広域市立社稷図書館
구리시교문도서관,Guri City Gyomun Library,九里市橋門洞図書館
구리시인창도서관,Guri City Inchang Library,九里市仁倉図書館
국립과천과학관어울림홀,Gwacheon National Science Museum Eoulim Hall,国立果川科学館オウルリムホール
국립수목원 산림박물관,Korea National Arboretum Sallim Museum,国立樹木園森林博物館
군포시 부곡도서관,Gunpo City Bugok Library,軍浦市富谷図書館
군포시당동도서관,Gunpo City Dangdong Library,軍浦市堂洞図書館
대야도서관,Daeya Library,大夜図書館
군포시립중앙도서관,Gunpo Municipal Central Library,軍浦市立 中央図書館
기산미술관,Gisan Art Museum,キサン美術館
남부문예회관,Nambu Culture and Art Center,南部文芸会館
남양주시와부도서관,Namyangju City Wabu Library,南楊州市 瓦阜図書館
남양주시진건도서관,Namyangju City Jingeon Library,南楊州市 真乾図書館
퇴계원도서관,Toegyewon Library,退渓院図書館
남양주시평내도서관,Namyangju City Pyeongnae Library,南楊州市 坪內図書館
남양주시화도도서관,Namyangju City Hwado Library,南楊州市 和道図書館
누에박물관,Silkworm Museum,蚕博物館
다사리도서관,Dasari Library,タサリ図書館
단비도서관,Danbi Library,タンビ図書館
수원시립대추골도서관,Suwon Daechugol Municipal Library,水原市立 テチュコル図書館
오설록 티 뮤지엄,Osulloc Tea Museum,オソルロック ティーミュージアム
덕진문고,Deokjin Bookstore,トクジン文庫
도심광장 지혜의 등대,Dosimgwangjang Jihyeui Deungdae,都心広場 知恵の灯台
평택시립 배다리도서관,Pyeongtaek Baedari Municipal Library,平沢市立 ペダリ図書館
두물워크샵,Doomul Workshop,トゥムルワークショップ
마나스아트센터,Manas Art Center,マナスアートセンター
만해기념관,Manhae Memorial Hall,万海記念館
진주청동기문화박물관,Jinju Bronze Age Museum,晋州 青銅器文化博物館
매화문고,Maehwa Bookstore,梅花文庫
명지산생태전시관,Myeongjisan Ecological Exhibition Hall,明智山 生態展示館
명화극장,Myeonghwa Theater,名画劇場
무럭무럭도서관,Mureongmureok Library,すくすく図書館
한국만화박물관,Korea Manhwa Museum,韓国漫画博物館
고양어울림누리 별모래극장,Goyang Eoulim Nuri Byeolmorae Theater,高陽オウリムヌリ 星砂劇場
국립항공박물관,National Aeronautical Museum,国立航空博物館
부천물박물관,Bucheon Water Museum,富川 水の博物館
꿈빛도서관,Kkumbit Library,クムビッ図書館
부천시립심곡도서관,Bucheon Municipal Simgok Library,富川市立 深谷図書館
부천시립원미도서관,Bucheon Municipal Wonmi Library,富川市立 遠美図書館
부천시립한울빛도서관,Bucheon Municipal Hanulbit Library,富川市立 ハヌルビッ図書館
부천예술정보도서관 다감,Bucheon Art Information Library Dagam,富川芸術情報図書館 タガム
자연생태박물관,Natural Eco Museum,自然生態博物館
북트리도서관인천구월센터,Book Tree Library Incheon Guwol Center,ブックツリー図書館  仁川九月センター
살림문고,Sallim Library,サルリム文庫
고양아람누리 새라새극장,Goyang Aramnuri Saerasae Theater,高陽アラムヌリ セラセ劇場
샬롬문고,Syallom Bookstore,シャーロム文庫
설악문고,Seorak Bookstore,雪岳文庫
성호기념관,Seongho Memorial Hall,星湖記念館
송원도서관,Songwon Library,ソンウォン図書館
수원시립선경도서관,Suwon Municipal Sunkyung Library,水原市立鮮京図書館
포천시립가산도서관,Pocheon Municipal Gasan Library,抱川市立加山図書館
시흥시립군자도서관,Siheung Municipal Gunja Library,始興市立君子図書館
능곡도서관,Neunggok Library,陵谷図書館
시흥역사자료전시관,Siheung History Exhibition Hall,始興歴史資料展示館
금성문고,Geumseong Bookstore,クムソン文庫
실학박물관,The Museum of Silhak,実学博物館
실학박물관도서관,The Museum of Silhak Library,実学博物館図書館
아가페문고,Agape Bookstore,アガペー文庫
고양아람누리 아람극장,Goyang Aram Nuri Aram Theater,高陽アラムヌリアラム劇場
아람터도서관,Aramteo Library,アラムト図書館
아리랑도서관,Arirang Library,アリラン図書館
코엑스,COEX,コエックス
부곡도서관,Bugok Library,釜谷図書館
감골도서관,Gamgol Library,カムゴル図書館
관산도서관,Gwansan Library,関山図書館
안산중앙도서관,Ansan Central Library,安山中央図書館
안성3.1운동기념관,Anseong 3.1 Movement Memorial Hall,安城3.1運動記念館
안성시립보개도서관,Anseong Municipal Bogae Library,安城市立宝蓋図書館
안양시립비산도서관,Anyang Municipal Bisan Library,安養市立飛山図書館
안양시립만안도서관,Anyang Municipal Manan Library,安養市立万安図書館
벌말도서관,Beolmal Library,ポルマル図書館
안양시립석수도서관,Anyang Municipal Seoksu Library,安養市立石水図書館
안양시립평촌도서관,Anyang Municipal Pyeongchon Library,安養市立坪村図書館
덕계도서관,Deokgye Library,徳渓図書館
양주문화예술회관,Yangju Culture and Arts Center,楊州文化芸術会館
양주시립회암사지박물관,Hoeamsaji Museum of Yangju City,楊州市立檜岩寺址博物館
양평곤충박물관,Yangpyeong Insect Museum,楊平昆虫博物館
양평친환경농업박물관,Sustainable Agricultural Museum of Yangpyeong,楊平エコ農業博物館
양평군립도서관,Yangpyeong Public Library,楊平郡立図書館
어우재미술관,Eoujae Museum of Art,オウジェ美術館
고양어울림누리 어울림미술관,Goyang Eoulim Nuri Eoulim Museum of Art,高陽オウリムヌリ オウリム美術館
경기여주가남교육도서관,Gyeonggi Yeoju Ganam Library of Education,京畿驪州加南教育図書館
영광공공도서관,Yeonggwang Public Library,霊光公共図書館
열림도서관,Yeollim Library,ヨリム図書館
예당국악박물관,Yedang Korea Traditional Music Museum,イェダン国楽博物館
예촌문고,Yechon Bookstore,イェチョン文庫
오남공룡체험전시관,Onam Dinosaur Exhibition Hall,梧南恐竜体験展示館
오정동행정복지센터아트홀,Ojeong-dong Administrative Welfare Center Art Hall,梧亭洞行政福祉センターアートホール
오포도서관,Opo Library,五浦図書館
옹달샘문고,Ongdalsammungo Library,オンダルセム文庫
청학박물관,Cheonghak Museum,チョンハク博物館
용신동 열린문고,Yeollinmungo Library Yongsin-dong Branch,ヨンシンドンヨリン文庫
구성도서관,Guseong Library,駒城図書館
용인시립기흥도서관,Yongin City Giheung Library,龍仁市立器興図書館
용인시립동백도서관,Yongin City Dongbaek Library,龍仁市立東栢図書館
모현도서관,Mohyeon Library,慕賢図書館
수지도서관,Suji Library,水枝図書館
죽전도서관,Jukjeon Library,竹田図書館
흥덕도서관,Heungdeok Library,興徳図書館
용인중앙도서관,Yongin Central Library,龍仁中央図書館
용인포은아트홀,Yongin Poeun Arthall,龍仁圃隠アートホール
용주사효행박물관,Yongjusa Temple Hyohaeng Museum,龍珠寺孝行博物館
원곡벽산블루밍문고,Wongok Byeoksan Blooming Bookstore,元谷ピョクサンブルーミング文庫
월곶도서관,Wolgot Public Library,月串図書館
초당하나비도서관,Chodanghanabi Library,チョダンハナビ図書館
오산시 유엔군 초전기념관,UN Forces First Battle Memorial,烏山市国連軍初戦記念館
유진민속박물관,Yujin Folk Museum,ユジン民俗博物館
은광문고,Eunkwangmungo Library,ウングァン文庫
은성도서관,Eunsung Library,ウンソン図書館
의왕시립글로벌도서관,Uiwang City Global Library,義王市立グローバル図書館
5.18기념문화회관 민주홀,5.18 Memorial Cultural Center Minju Hall,5.18記念文化会館民主ホール
핑크드림도서관,Pink Dream Library,ピンクドリーム図書館
KJB금융박물관,KJB Financial Museum,KJB金融博物館
강변문고,Gangbyeonmungo Library,川辺文庫
새마을 이동도서관,Saemaul Idong Library,セマウル移動図書館
광주광역시립무등도서관,Gwangju Metropolitan City Municipal Mudeung Library,光州広域市立無等図書館
의정부정보도서관,Uijeongbu Information Library,議政府情報図書館
남구문화정보도서관,Namgu Cultural Information Library,南区文化情報図書館
의정부영어도서관,Uijeongbu English Library,議政府英語図書館
광주송정도서관,Gwangju Songjeong Library,光州松亭図書館
광주점자도서관,Gwangju Braille Library,光州点字図書館
광주학생교육문화회관,Gwangju Student Education and Culture Center,光州学生教育文化会館
국립광주박물관,Gwangju National Museum,国立光州博物館
국윤미술관,Kukyun Art Museum,国潤美術館
궁동예술극장,Gungdong Art Theater,宮東芸術劇場
이경순소리박물관,Lee Gyeong Sun Sori Museum,イギョンスン音の博物館
도산동문고,Dosandongmungo Library,陶山東文庫
이레문고,Ire Bookstore,イレ文庫
빛고을 두암문고,Bitgoeul Duammungo Library,ピッコウル·トゥアム文庫
메트로열린도서관,Metro Yeollin Library,メトロ開かれた図書館
무등갤러리,Mudeung Gallery,無等ギャラリー
광주광역시문화예술회관,Gwangju Metropolitan City Culture and Arts Center,光州広域市文化芸術会館
문흥골문고,Munheunggolmungo Library,文興ゴル文庫
빛고을국악전수관,Bitgoeul Korean Traditional Music Training Center,ピッコウル国楽伝授館
수완피오레문고,Suwan Fioremungo Library,スワンフィオーレ文庫
아이자람문고,Aijarammungo Library,アイジャラム文庫
예향문고,Yehyangmungo Library,イェヒャン文庫
우제길미술관,Woo Jaeghil Art Museum,ウジェギル美術館
광주유스퀘어동산아트홀,Gwangju U Square Dongsan Art Hall,光州ユースクエア東山アートホール
은암미술관,Eunam Museum of Art,銀岩美術館
의재미술관,Uijae Museum of Art,義才美術館
장공도서관,Janggong Library,長公図書館
이천세라피아,Icheon Cerapia,利川セラピア
책돌이도서관,Chaekdori Library,チェクドリ図書館
친환경도서관버스,Eco-friendly Library Bus,エコ図書館バス
이천시립효양도서관,Icheon Municipal Hyoyang Library,利川市立ヒョヤン図書館
하남문고,Hanammungo Library,河南文庫
한울문고,Hanulmungo Library,ハヌル文庫
햇살도서관,Haetsal Library,日差し図書館
입북동주민문고,Ipbuk-dong Community Bookstore,笠北洞住民文庫
전주자연생태박물관,Jeonju Eco Museum,全州自然生態博物館
자유수호평화박물관,Freedom Protection Peace Museum,自由守護平和博物館
한국잠사플레이팜 한국잠사박물관,Korea Jamsa Play Farm Korea Jamsa Museum,韓国蚕糸プレイファーム 韓国蚕糸博物館
장미도서관,Rose Library,チャンミ図書館
장성문고,Jangseong Bookstore,長省文庫
전곡선사박물관,Jeongok Prehistory Museum,全谷先史博物館
화성시립 정남도서관,Hwaseong Municipal Jeongnam Library,華城市立正南図書館
진명문고,Jinmyeong Bookstore,チンミョン文庫
정문규미술관,Jeong Mungyu Museum of Art,チョン·ムンギュ美術館
조리도서관,Jori library,条里図書館
조명박물관,Lighting Museum,照明博物館
조병화문학관,Jo Byeonghwa Literary Museum,チョ·ビョンファ文学館
좋은터문고,Joeunteo library,チョッウンタ文庫
죽포미술관,Jukpo Museum of Art,竹圃美術館
중남미문화원 병설 박물관,Latin American Cultural Center Annex Museum,中南米文化院併設博物館
수원시립창룡도서관,Suwon Municipal Changryong Library,水原市立蒼龍図書館
여주대신도서관,Yeoju Daesin Library,驪州大新図書館
천성사립 문고,Cheonseongsarip Bookstore,チョンソン私立文庫
청암민속박물관,Cheongam Folk Museum,チョンアム民俗博物館
초월도서관,Chowol Library,草月図書館
태장마루 도서관,Taejangmaru Library,台章マル図書館
강선영태평무전수관,Gang Seonyeong Taepyeongmu Training Center,カン·ソンヨン太平無伝授管
토갤러리,To Gallery,トーギャラリー
토지주택박물관,Land and Housing Museum,土地住宅博物館
평강도서관,Pyeonggang Library,ピョンガン図書館
평택남부문화예술회관,Pyeongtaek Nambu Culture and Arts Center,平沢南部文化芸術会館
장당도서관,Jangdang Library,獐堂図書館
평택시립지산초록도서관,Pyeongtaek Municipal Jisan Chorok Library,平沢市立芝山チョロく図書館
평택호자동차극장,Pyeongtaekho Drive-in Theater,平沢湖自動車劇場
포천시립소흘도서관,Pocheon Municipal Soheul Library,抱川市立蘇屹図書館
포천시립영북도서관,Pocheon Municipal Yeongbuk Library,抱川市立氷北図書館
여주시립 폰박물관,Yeoju City Phone Museum,驪州市立フォーン博物館
풀짚공예박물관,Pulzip Museum,草わら工芸博物館
하남시립나룰도서관,Hanam Municipal Narul Library,河南市立ナルル図書館
한강문화관,Hangang Cultural Center,漢江文化館
한가원,Hangawon,ハンガウォン
평택시립비전도서관,Pyeongtaek City Bijeon Library,平沢市立碑前図書館
한국기독교순교자기념관,Korean Christian Martyrs’ Memorial Hall,韓国キリスト教殉教者記念館
한국만화영상진흥원,Korea Manhwa Contents Agency,韓国漫画映像振興院
한국미술관,Hankuk Art Museum,韓国美術館
남면도서관,Nammyeon Library,南面図書館
ICT폴리텍대학,ICT Polytech Institute of Korea,ICTポリテク大学
장안구민회관한누리아트홀,Jangan-gu Community Center Hannuri Art Hall,長安区民会館ハンヌリアートホール
한샘문고,Hansaem Bookstore,ハンセム文庫
문익환 통일의집,Mun Ikhwan Tongiruijip,文益煥 統一の家
한얼고문서유물관,Hanoel Historic Documents Artifact Museum,ハンオル古文書遺物館
한얼과학문화관,Hanul Science and Culture Center,ハンオル科学文化館
한얼산업디자인유물관,Hanul Industrial Design Museum,ハンオル産業デザイン遺物館
한얼전적유물관,Hanul Historic Documents Museum,ハンオル戦跡遺物館
한얼카메라유물관,Hanul Camera Museum,ハンオルカメラ遺物館
한얼테마박물관,Hanul Theme Museum,ハンオルテーマ博物館
한우리 독서문화원문고,Hanuri Dokseomunhwawon Library,ハンウリ読書文化院文庫
한우리문고,Hanuri Bookstore,ハンウリ文庫
해강도자미술관,Haegang Ceramics Museum,海剛陶磁美術館
해뜰문고,Haetteul Bookstore,ヘトゥル文庫
해밀도서관,Haemil Library,ヘミル図書館
해성문고,Haeseong Bookstore,ヘソン文庫
환경재생조형박물관,Hwangyeongjaesaengjohyeong Museum,環境再生造形博物館
휴먼시아청계마을문고,Hyumeonsia Cheonggyemaeul Bookstore,ヒューマンシア清渓マウル文庫
갤러리S,Gallery S,ギャラリーS
솔브릿지국제대학,Solbridge International University,ソウルブリッジ国際大学
우송정보대학,Woosong Information College,ウソン情報大学
창대문고,Changdaemungo,創大文庫
천연기념물센터,Natural Monument Center,天然記念物センター
국립광주과학관,National Gwangju Science Museum,国立光州科学館
지질박물관,Geological Museum,地質博物館
평강문고도서관,Pyeonggang Mungo Library,平岡文庫図書館
한빛문고,Hanbit Bookstore,ハンビッ文庫
홍도도서관,Hongdo Library,弘道図書館
화폐박물관,Money Museum,貨幣博物館
갤러리 피랑,Gallery Pirang,ギャラリーピラン
건지도서관,Geonji Library,乾地図書館
고촌도서관,Gochon Library,古村図書館
공항갤러리 광주공항점,Gonghang Gallery Gwangju Airport Location,空港ギャラリー光州空港店
관평도서관,Gwanpyeong Library,寛平図書館
광명시광명도서관,Gwangmyeong Municipal Library Gwangmyeong Location,光明市光明図書館
광주시립미술관팔각정,Gwangju Museum of Art Palgakjeong,光州市立美術館八角亭
그림책놀이터,Picture Book Library,絵本の遊び場
금천구립독산도서관,Geumcheon Public Doksan Library,衿川区立禿山図書館
김포시중봉도서관,Gimpo-si Jungbong Library,金浦市中峰図書館
김해 민속박물관,Gimhae Folk Museum,金海民俗博物館
남원교육문화회관,Namwon Educational and Cultural Center,南原教育文化会館
남이섬노래박물관,Namiseom The Song Museum,南怡島歌博物館
농다리전시관,Nongdari Exhibition Hall,ノンダリ展示館
다가여행자도서관,Daga Travellers' Library,多賀旅行者図書館
대담미술관,Daedam Art Museum,対談美術館
동구예술여행센터,Donggu Yesulyeohaeng Center,東区芸術旅行センター
동탄호수공원,Dongtan Lake Park,東灘湖公園
마산도서관,Masan Library,馬山図書館
마이산명인명품관,Maisan Myeongin Myeongpumgwan,馬耳山名人名品館
방어진 박물관,Bangeojin Museum,ブリジン博物館
백남준기념관,Nam June Paik Memorial House,白南準記念館
상무시민공원,Sangmu Citizens Park,尚武市民公園
서신도서관,Seosin Library,書信図書館
선교장민속박물관,Seongyojang Folk Museum,宣教場民俗博物館
성균관,Sungkyunkwan,成均館
성주 성산동 고분군 전시관,Seongju Seongsandong Ancient Tombs Exhibition Hall,星州城山洞古墳群展示館
속초시립박물관,Sokcho Museum,束草市立博物館
송천도서관 전북 전주시,Songcheon Library Jeonbuk Jeonjusi,松川図書館全羅北道全州市
수성구립 범어도서관,Suseong Beomeo Library,寿城区立梵魚図書館
수원SK아트리움,Suwon SK Artrium,水原SKアトリウム
아중도서관,Ajung Library,亜中図書館
안양시립관양도서관,Anyang Municipal Gwanyang Library,安養市立寛陽図書館
양곡도서관,Yanggok Library,糧穀図書館
양림오픈스튜디오,Yangnim Open Studio,ヤンリムオープンスタジオ
영도해녀문화전시관,Yeongdo Haenyeo Culture Exhibition Hall,影島海女文化展示館
영화의전당,Busan Cinema Center,映画の殿堂
원주역사박물관,Wonju Museum of History,原州歴史博物館
이승복기념관,Lee Seungbok Memorial Hall,イ·スンボク記念館
이종우과학도서관,Lee Jongwoo Science Library,イ·ジョンウ科学図書館
이화갤러리,Ihwa Gallery,梨花ギャラリー
이효석 문학관,Lee Hyoseok Memorial Hall,イ·ヒョソク文学館
일월도서관,Irwol Library,日月図書館
정약용도서관,Jeong Yagyong Library,チョン·ヤクヨン図書館
지혜샘도서관,Jihyesaem Library,知恵泉図書館
풍무도서관,Pungmu Library,豊武図書館
한국대나무박물관,Korea Bamboo Museum,韓国竹博物館
한국황실문화갤러리,Korean Royal Heritage Gallery,韓国皇室文化ギャラリー
한서남궁억기념관,Hanseo Namgung Eok Memorial Hall,ハンソナムグンオク記念館
아트선재센타,Art Sunjae Center,アート線材センター
아트센터K,Art Center K,アートセンターK
아현동전골목,Ahyeon-dongjeon Alley,阿峴洞ジョン路地
안중근의사기념관,Ahn Jung-geun Memorial Hall,安重根義士記念館
양천구도서방,Yangcheon-gu Library,陽川区図書室
서울특별시교육청 양천도서관,Yangcheon Library of the Seoul Metropolitan Office of Education,ソウル特別市教育庁陽川図書館
두산아트센터 연강홀,Doosan Art Center Yeongang Hall,斗山アートセンターヨンガンホール
연남동문고 도서관,Yeonnam-dong Library,延南洞文庫図書館
민화공방 연우,Minhwa Workshop Yeonwoo.,ミンファ工房ヨヌ
염리동문고도서관,Yeomri-dong Library,塩里洞文庫図書館
염산문고 도서관,the Yeomsan Book Library,塩山文庫図書館
예림당아트홀,Yerimdang Art Hall,イェリムダンアートホール
예문갤러리,an example gallery,芸文ギャラリー
예본사립문고 도서관,Yebon Private Library,礼本私立文庫図書館
예술의전당 CJ 토월극장,Seoul Arts Center CJ Towol Theater,芸術の殿堂CJトウォル劇場
몽촌역사관,Mongchon History Museum,夢村歴史館
올림픽공원백제집자리전시관,Baekje House Exhibition Hall in Olympic Park,オリンピック公園百済屋跡展示館
한성백제박물관,Hanseong Baekje Museum,漢城百済博物館
외교사료관,a diplomatic cate,外交史料館
우리금융아트홀,Woori Financial Art Hall,ウリィ金融アートホール
우리들문고 도서관,Woori Deulmun Library,ウリドゥル文庫図書館
갤러리 우림,Gallery Rainforest,ギャラリー·ウリム
우정박물관,Friendship Museum,郵政博物館
운우미술관,Unwoo Museum of Art,ウンウ美術館
운현궁유물전시관,Unhyeon Palace Heritage Exhibition Hall,雲峴宮遺物展示館
울트라건축박물관,Ultra Architecture Museum,ウルトラ建築博物館
아라리오갤러리 서울,Arario Gallery Seoul,アラリオギャラリーソウル
월계도서관,Wolgye Library,月桂図書館
월드컵전시관,World Cup Exhibition Hall,ワールドカップ展示館
갤러리유니,Gallery UNI,ギャラリーユニ
유림아트홀,Yurim Art Hall,ユリムアートホール
선원사유물전시관,Seafarers' Property Exhibition Hall,船員私有物展示館
유아트스페이스,U-Art Space,ユーアートスペース
유즈패밀리,Yuzu Family,ゆずファミリー
윤당아트홀,Yundang Art Hall,ユンダンアートホール
도곡정보문화도서관,Dogok Information and Culture Library,道谷情報文化図書館
은평문화예술회관 숲속극장,Eunpyeong Culture and Arts Center Forest Theater,恩平文化芸術会館森の劇場
은평역사한옥박물관,Eunpyeong History Hanok Museum,恩平歴史韓屋博物館
이리자한복전시관,Irija Hanbok Exhibition Hall,イリザ韓服展示館
이수스타홀,Isu Star Hall,イススターホール
갤러리 이즈,Gallery is,ギャラリー·イズ
인도박물관,Museum of India,インド博物館
인디스페이스,Indie Space,インディスペース
박물관은살아있다 인사동점,The museum is alive. a tie in personnel management,博物館は生きている 仁寺洞店
인사아트센터,Insa Art Center,人事アートセンター
인수동문고분소 도서관,Insu-dong Bookstore Library,仁寿東文庫分所図書館
일주아트,Ilju Art,一周アート
일지아트홀,Ilji Art Hall,イルジアートホール
자하미술관,Zaha Museum of Art,紫霞美術館
장은선갤러리,Jangseon Gallery,チャン·ウンソンギャラリー
재활용창작품상설전시관,Recycled Creative Works Permanent Exhibition Hall,リサイクル創作品常設展示館
한전아트센터 박물관,KEPCO Art Center Museum,韓電アートセンター博物館
전쟁과여성인권박물관,Museum of War and Women's Human Rights,戦争と女性人権博物館
희망문고도서관,Hope Book Library,希望文庫図書館
이태근 갤러리 효천화실,Lee Tae-geun Gallery Hyocheon Painting Room,イ·テグンギャラリーヒョチョン画室
효경골 마을문고 도서관,Hyokyeonggol Village Library,ヒョギョンゴル村文庫図書館
환기미술관,Whanki Museum,換気美術館
화정박물관,Hwajeong Museum,花井博物館
사진위주 류가헌 갤러리,Ryu Ga-heon Gallery with photos,写真中心 リュ·ガホンギャラリー
호암아트홀,Hoam Art Hall,湖岩アートホール
호림박물관 신사분관,Horim Museum Sinsabungwan,湖林博物館新沙分館
최순우옛집,Choi Soon-woo's Old House,崔淳雨（チェ·スンウ）旧家
산사현대시100년관,100 Years' View of Sansa Modern Poetry,山寺現代詩100年観
헬로우뮤지움,Hello Museum,ハローミュージアム
헤브론문고도서관,Hebron Book Store Library,ヘブロン文庫図書館
해치홀,hatch hole,ハッチホール
함께하는문고도서관,Book Library with you.,共にする文庫図書館
함께크는우리도서관,Our library that grows together.,一緒に育つ我が図書館
한지이야기,Hanji Story,韓紙の話
재단법인 한원미술관,Hanwon Museum of Art[법인원한Hanwon Museum of Art,財団法人ハンウォン美術館
한우리용산독서문화원문고,Hanuri Yongsan Reading Center Bookstore,韓国龍山読書文化院文庫
청계천박물관,Cheonggyecheon Museum,清渓川博物館
한상수자수박물관,Han Sang-su Embroidery Museum,ハンサンス刺繍博物館
한길문고도서관,Hangil Bookstore Library,ハンギル文庫図書館
한국화랑협회,Korean Gallery Association,韓国画廊協会
한국학생도서관,Hanguk Haksaeng Library,韓国学生図書館
한국은행 화폐박물관,Bank of Korea Currency Museum,韓国銀行貨幣博物館
한국예술문화단체종연합회,The Federation of Artistic & Cultural Organization of Korea,韓国芸術文化団体総合連合会
김달진미술자료박물관,Kimdaljin Art Archives and Museum,キム·タルジン美術資料博物館
한국가구박물관,Korean Furniture Museum,韓国家具博物館
예술의전당한가람미술관,Seoul Arts Center Hangaram Museum,芸術の殿堂ハンガラム美術館
학고재,Hakgojae,ハクゴジェ
하상점자도서관,Hasangjeomjadoseogwan Braille Library,河床点字図書館
하나아트갤러리,Hana Art Gallery,ハナアートギャラリー
하나로갤러리,Hanaro Gallery,ハナロギャラリー
서울교육박물관,Seoul Education Museum,ソウル教育博物館
서울무형문화재 돈화문교육전시장,Seoul Intangible Cultural Property Donhwamun Education Exhibition Hall,ソウル無形文化財 敦化門教育展示場
애보박물관,Aebo Museum,愛宝博物館
인천광역시 미추홀도서관,Incheon Metropolitan City Michuhol Library,仁川広域市弥鄒忽図書館
부평도서관,Bupyeong Library,富平図書館
춤추는달팽이도서관,Dancing Snail Library,踊るカタツムリ図書館
하늘문고,Sky Bookstore,ハヌル文庫
행복한 문고,a happy library,幸福な文庫
가톨릭신학원,Catholic Theological Seminary,カトリック神学院
불광사경북불교대학,Bulgwangsa Temple Gyeongbuk Buddhist University,仏光寺慶北仏教大学
구수산도서관,Gususan Library,九水産図書館
김광석다시그리기길,I hope you draw Kim Kwang Seok again.,キム·グァンソク描き直し道
달서구립 본리도서관,Dalseo Gurip Bonri Library,達西区立本里図書館
달성한일우호관,Dalseong Hanil Uhogwan,達城韓日友好館
대곡역래미안 열린도서관,Daegokyeok Raemian Yeollin Library,大谷駅レミアン開かれた図書館
대구근대역사관,Daegu Museum of Modern History,大邱近代歴史館
동인동 찜갈비골목,Dongin-dong Braised Short Ribs Alley,東仁洞チムカルビ路地
약령시한의약박물관,Yakryeong Museum of Korean Medicine,薬令市韓医薬博物館
대구예술발전소,Daegu Yesul Baljeonso,大邱芸術発電所
오토바이 골목 motz,Motorcycle Alley Motz,バイク横丁motz
대구진골목,Daegu Jingolmok,テグジン路地
코오롱야외음악당,Kolon Outdoor Concert Hall,コーロン野外音楽堂
